tickers,Name,method,aic,aicc,bic,sigma,closePrice,lowGrowth,meanGrowth,highGrowth,predicted,highGrowthLim,lowGrowthLim
ANEB,"Anebulo Pharmaceuticals, Inc.","ARIMA(2,0,1) with non-zero mean",-167.19,-166.95,-149.44,0.03,2.2,-0.32,0.33,0.99,2.53,3.19,1.88
ANGI,Angi Inc.,"ARIMA(0,1,0)",-319.3,-319.28,-315.75,0.02,1.61,-0.8,0,0.8,1.61,2.41,0.81
ANGL,VanEck Fallen Angel High Yield Bond ETF,"ARIMA(5,1,0)",-255.2,-254.87,-233.93,0.02,26.73,-0.8,-0.06,0.68,26.67,27.41,25.93
ANGO,Angiodynamics Inc,"ARIMA(0,1,1)",218.48,218.52,225.57,0.14,6.2,-1.99,0.02,2.03,6.22,8.23,4.21
ANIK,"Anika Therapeutics, Inc.","ARIMA(1,1,3)",469.88,470.12,487.61,0.36,19.5,-3.76,0,3.77,19.5,23.27,15.74
ANIP,Ani Pharmaceuticals Inc,"ARIMA(0,1,0) with drift",771.4,771.45,778.49,1.18,61.74,-5.76,0.97,7.7,62.71,69.44,55.98
ANSS,Ansys Inc,"ARIMA(0,1,1)",1587.99,1588.04,1595.08,28.6,278.26,-35.77,0.26,36.29,278.52,314.55,242.49
ANTE,Airnet Technology Inc.,"ARIMA(1,1,0) with drift",-483.24,-483.14,-472.6,0.01,0.75,-0.64,-0.07,0.49,0.68,1.24,0.11
ANY,Sphere 3D Corp.,"ARIMA(0,1,0)",-292.24,-292.23,-288.7,0.02,1,-0.84,0,0.84,1,1.84,0.16
AOGO,Arogo Capital Acquisition Corp.,"ARIMA(2,1,3) with drift",-1243.92,-1243.47,-1219.11,0,10.67,-0.07,0.03,0.13,10.7,10.8,10.6
AOGOU,Arogo Capital Acquisition Corp.,"ARIMA(0,1,5) with drift",-462.1,-461.65,-437.28,0.01,11.31,-0.3,0.06,0.43,11.37,11.74,11.01
AOGOU,Arogo Capital Acquisition Corp. - Unit,"ARIMA(0,1,5) with drift",-462.1,-461.65,-437.28,0.01,11.31,-0.3,0.06,0.43,11.37,11.74,11.01
AONC,"American Oncology Network, Inc.","ARIMA(1,0,4) with non-zero mean",850.4,850.85,875.24,1.54,6.07,-0.59,3.62,7.83,9.7,13.9,5.49
AOSL,Alpha & Omega Semiconductor Ltd,"ARIMA(0,1,0)",662.9,662.92,666.45,0.77,23.72,-5.45,0,5.45,23.72,29.17,18.27
AOTG,AOT Growth and Innovation ETF,"ARIMA(2,1,0)",386.26,386.36,396.9,0.26,27.89,-3.08,-0.04,3.01,27.85,30.9,24.81
AOUT,"American Outdoor Brands, Inc.","ARIMA(0,1,0)",18.62,18.63,22.16,0.06,8.88,-1.55,0,1.55,8.88,10.43,7.33
APA,Apa Corp,"ARIMA(1,1,0)",763.78,763.82,770.87,1.14,39.72,-6.22,0,6.21,39.72,45.93,33.5
APDN,Applied Dna Sciences Inc,"ARIMA(0,1,1)",-612.16,-612.11,-605.07,0.01,0.75,-0.39,0,0.39,0.75,1.14,0.36
APEI,American Public Education Inc,"ARIMA(0,1,3)",263.71,263.86,277.89,0.16,4.17,-3.05,-0.03,2.99,4.14,7.16,1.12
API,"Agora, Inc.","ARIMA(2,1,2)",-175.17,-174.93,-157.44,0.03,2.94,-0.76,-0.02,0.73,2.92,3.67,2.18
API,"Agora, Inc. - ADS","ARIMA(2,1,2)",-175.17,-174.93,-157.44,0.03,2.94,-0.76,-0.02,0.73,2.92,3.67,2.18
APLD,Applied Digital Corp.,"ARIMA(0,1,1)",289.97,290.02,297.06,0.18,4.88,-2.44,-0.03,2.38,4.85,7.26,2.44
APLM,Apollomics Inc.,"ARIMA(0,1,5)",882.92,883.25,904.19,1.79,0.8,-5.23,0.3,5.83,1.1,6.63,-4.43
APLS,"Apellis Pharmaceuticals, Inc.","ARIMA(0,1,3)",1280.74,1280.89,1294.92,8.54,48.66,-23.83,0.01,23.84,48.67,72.5,24.83
APLT,Applied Therapeutics Inc.,"ARIMA(3,1,2)",-425.64,-425.3,-404.37,0.01,2.4,-0.54,0.02,0.57,2.42,2.97,1.86
APM,Aptorum Group Ltd,"ARIMA(2,1,3) with drift",162.29,162.74,187.11,0.11,1.7,-1.37,-0.16,1.04,1.54,2.74,0.33
APOG,"Apogee Enterprises, Inc.","ARIMA(0,1,0)",598.38,598.4,601.93,0.6,42.92,-4.81,0,4.81,42.92,47.73,38.11
APP,Applovin Corp,"ARIMA(0,1,0)",699.25,699.26,702.79,0.89,36.44,-5.85,0,5.85,36.44,42.29,30.59
APPF,Appfolio Inc,"ARIMA(4,1,0)",1408.24,1408.48,1425.96,14.01,187.57,-23.26,-1.55,20.15,186.02,207.72,164.31
APPN,Appian Corp,"ARIMA(0,1,0)",889.06,889.08,892.61,1.87,39.46,-8.48,0,8.48,39.46,47.94,30.98
APPS,"Digital Turbine, Inc.","ARIMA(0,1,0)",604.34,604.36,607.89,0.62,4.74,-4.86,0,4.86,4.74,9.6,-0.12
APRE,"Aprea Therapeutics, Inc.","ARIMA(0,1,1)",598.79,598.83,605.88,0.6,3.36,-3,0.11,3.21,3.47,6.57,0.36
APRN,"Blue Apron Holdings, Inc.","ARIMA(3,2,1)",746.8,747.04,764.5,1.06,12.96,-5.47,1.1,7.67,14.06,20.63,7.49
APTM,Alpha Partners Technology Merger Corp.,"ARIMA(3,1,2) with drift",-1229.74,-1229.28,-1204.92,0,10.61,-0.01,0.05,0.11,10.66,10.72,10.6
APTMU,Alpha Partners Technology Merger Corp.,"ARIMA(0,1,2) with drift",-609.94,-609.78,-595.76,0.01,10.62,-0.1,0.05,0.2,10.67,10.82,10.52
APTMU,Alpha Partners Technology Merger Corp. - Unit,"ARIMA(0,1,2) with drift",-609.94,-609.78,-595.76,0.01,10.62,-0.1,0.05,0.2,10.67,10.82,10.52
APTO,Aptose Biosciences Inc.,"ARIMA(0,1,0)",249.37,249.38,252.91,0.15,2.79,-2.43,0,2.43,2.79,5.22,0.36
APWC,Asia Pacific Wire & Cable Corp Ltd,"ARIMA(0,1,2)",-803.84,-803.75,-793.2,0,1.34,-0.25,-0.03,0.19,1.31,1.53,1.09
APXI,Apx Acquisition Corp. I,"ARIMA(0,1,5) with drift",-1278.6,-1278.15,-1253.78,0,11,-0.02,0.05,0.11,11.05,11.11,10.98
APXIU,APx Acquisition Corp. I - Unit,"ARIMA(0,1,2) with drift",-768.05,-767.89,-753.87,0,11.1,-0.16,0.03,0.22,11.13,11.32,10.94
APXIU,Apx Acquisition Corp. I,"ARIMA(0,1,2) with drift",-768.05,-767.89,-753.87,0,11.1,-0.16,0.03,0.22,11.13,11.32,10.94
AQB,"Aquabounty Technologies, Inc.","ARIMA(5,1,0)",447.02,447.36,468.29,0.33,2.26,-4.19,-0.18,3.83,2.08,6.09,-1.93
AQMS,"Aqua Metals, Inc.","ARIMA(0,1,0)",-759.34,-759.32,-755.79,0,0.82,-0.34,0,0.34,0.82,1.16,0.48
AQST,"Aquestive Therapeutics, Inc.","ARIMA(2,1,2)",-589.49,-589.25,-571.77,0.01,1.57,-0.55,-0.01,0.53,1.56,2.1,1.02
AQU,Aquaron Acquisition Corp.,"ARIMA(0,1,4) with drift",-951.51,-951.18,-930.24,0,10.65,-0.08,0.02,0.12,10.67,10.77,10.58
AQUNU,Aquaron Acquisition Corp.,"ARIMA(1,1,1)",-423.65,-423.56,-413.02,0.01,10.74,-0.35,-0.01,0.34,10.73,11.08,10.39
AQUNU,Aquaron Acquisition Corp. - Units,"ARIMA(1,1,1)",-423.65,-423.56,-413.02,0.01,10.74,-0.35,-0.01,0.34,10.73,11.08,10.39
AQWA,Global X Clean Water ETF,"ARIMA(1,1,0)",-238.4,-238.35,-231.31,0.02,13.97,-0.9,0,0.9,13.97,14.87,13.07
ARAY,Accuray Inc,"ARIMA(0,1,0)",-450.7,-450.68,-447.15,0.01,2.64,-0.62,0,0.62,2.64,3.26,2.02
ARBE,Arbe Robotics Ltd.,"ARIMA(0,1,2)",-24.17,-24.07,-13.53,0.05,1.93,-1.7,0.02,1.73,1.95,3.66,0.23
ARBK,Argo Blockchain Plc,"ARIMA(5,1,0)",-260.25,-259.91,-238.98,0.02,1.25,-0.74,0.01,0.75,1.26,2,0.51
ARBKL,Argo Blockchain Plc,"ARIMA(5,1,0)",497.32,497.66,518.59,0.4,6.48,-3.96,-0.01,3.94,6.47,10.42,2.52
ARCB,Arcbest Corp /De/,"ARIMA(0,1,2)",1222.26,1222.36,1232.9,6.82,108.88,-16.8,-1.3,14.21,107.58,123.09,92.08
ARCC,Ares Capital Corp,"ARIMA(4,1,0)",-28.55,-28.31,-10.82,0.05,18.96,-1.18,-0.05,1.08,18.91,20.04,17.78
ARCE,Arco Platform Ltd.,"ARIMA(1,1,0)",148.89,148.94,155.98,0.1,13.87,-2.26,0,2.26,13.87,16.13,11.61
ARCT,Arcturus Therapeutics Holdings Inc.,"ARIMA(0,1,0)",774.4,774.42,777.95,1.2,19.1,-6.78,0,6.78,19.1,25.88,12.32
AREC,American Resources Corp,"ARIMA(1,0,0) with non-zero mean",-586.83,-586.74,-576.18,0.01,1.46,-0.37,0.04,0.46,1.5,1.92,1.09
ARHS,"Arhaus, Inc.","ARIMA(3,1,0)",224.02,224.17,238.2,0.14,8.62,-2.73,0.07,2.86,8.69,11.48,5.89
ARIZ,Arisz Acquisition Corp.,"ARIMA(0,1,3) with drift",-751.19,-750.95,-733.47,0,10.72,-0.09,0.05,0.19,10.77,10.91,10.63
ARKO,Arko Corp.,"ARIMA(0,1,2)",-165.85,-165.75,-155.21,0.03,7.55,-0.91,0.01,0.93,7.56,8.48,6.64
ARKR,Ark Restaurants Corp,"ARIMA(2,1,0)",154.35,154.44,164.98,0.11,15.74,-1.73,0,1.72,15.74,17.46,14.01
ARLP,Alliance Resource Partners Lp,"ARIMA(2,1,1)",269.58,269.74,283.76,0.16,22.73,-2.56,-0.04,2.48,22.68,25.2,20.17
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests","ARIMA(2,1,1)",269.58,269.74,283.76,0.16,22.73,-2.56,-0.04,2.48,22.68,25.2,20.17
AROW,Arrow Financial Corp,"ARIMA(5,1,0) with drift",416.74,417.19,441.55,0.29,21.31,-3.49,-0.32,2.84,20.99,24.15,17.82
ARQT,"Arcutis Biotherapeutics, Inc.","ARIMA(2,1,0) with drift",343.12,343.28,357.3,0.22,2.25,-4.05,-0.55,2.94,1.7,5.19,-1.8
ARRW,Arrowroot Acquisition Corp.,"ARIMA(0,1,3) with drift",-1363.09,-1362.85,-1345.36,0,10.49,-0.06,0.02,0.09,10.51,10.58,10.43
ARRWU,Arrowroot Acquisition Corp.,"ARIMA(0,1,1) with drift",-675.85,-675.76,-665.22,0,10.56,-0.11,0.04,0.19,10.6,10.75,10.45
ARRWU,Arrowroot Acquisition Corp. - Unit,"ARIMA(0,1,1) with drift",-675.85,-675.76,-665.22,0,10.56,-0.11,0.04,0.19,10.6,10.75,10.45
ARRY,"Array Technologies, Inc.","ARIMA(1,0,1) with non-zero mean",651.62,651.78,665.81,0.72,17.33,-2.1,1.96,6.01,19.29,23.34,15.23
ARTEU,Artemis Strategic Investment Corp,"ARIMA(0,1,1) with drift",-1171,-1170.91,-1160.37,0,10.75,-0.11,0.02,0.15,10.77,10.9,10.64
ARTEU,Artemis Strategic Investment Corporation - Unit,"ARIMA(0,1,1) with drift",-1171,-1170.91,-1160.37,0,10.75,-0.11,0.02,0.15,10.77,10.9,10.64
ARTL,"Artelo Biosciences, Inc.","ARIMA(2,1,0)",-443.61,-443.51,-432.97,0.01,1.24,-0.64,-0.01,0.62,1.23,1.85,0.6
ARTNA,Artesian Resources Corp,"ARIMA(0,1,0)",705.55,705.57,709.09,0.91,39.3,-5.93,0,5.93,39.3,45.23,33.37
ARTW,Arts Way Manufacturing Co Inc,"ARIMA(0,1,0)",-644.97,-644.96,-641.43,0,2,-0.42,0,0.42,2,2.42,1.58
ARVN,"Arvinas, Inc.","ARIMA(4,1,1) with drift",888.56,889.01,913.37,1.82,16.12,-8.81,-2.04,4.74,14.08,20.86,7.31
ARVR,First Trust Indxx Metaverse ETF,"ARIMA(1,1,1)",259.44,259.53,270.07,0.16,28.61,-2.58,-0.03,2.53,28.58,31.13,26.03
ARWR,"Arrowhead Pharmaceuticals, Inc.","ARIMA(0,1,0)",815.66,815.68,819.21,1.41,24.59,-7.35,0,7.35,24.59,31.94,17.24
ARYD,Arya Sciences Acquisition Corp Iv,"ARIMA(0,1,1) with drift",-1409.49,-1409.4,-1398.86,0,10.81,-0.04,0.04,0.12,10.85,10.93,10.77
ASCA,Aspac I Acquisition Corp.,"ARIMA(1,1,1) with drift",-971.02,-970.86,-956.84,0,10.83,-0.04,0.06,0.16,10.89,10.99,10.79
ASCAU,A SPAC I Acquisition Corp. - Unit,"ARIMA(0,1,1)",-248.26,-248.21,-241.17,0.02,9.82,-0.56,0,0.56,9.82,10.38,9.26
ASCAU,Aspac I Acquisition Corp.,"ARIMA(0,1,1)",-248.26,-248.21,-241.17,0.02,9.82,-0.56,0,0.56,9.82,10.38,9.26
ASCB,Aspac Ii Acquisition Corp.,"ARIMA(3,1,2) with drift",-1081.67,-1081.22,-1056.85,0,11.11,-0.1,0.04,0.18,11.15,11.29,11.01
ASET,FlexShares Real Assets Allocation Index Fund,"ARIMA(1,1,0)",67.47,67.52,74.56,0.08,27.59,-1.72,0,1.73,27.59,29.31,25.86
ASLE,Aersale Corp,"ARIMA(0,1,0)",360.79,360.8,364.33,0.24,15.29,-3.02,0,3.02,15.29,18.31,12.27
ASLN,Aslan Pharmaceuticals Ltd,"ARIMA(1,1,3)",-212.5,-212.26,-194.78,0.02,1.12,-1.05,0,1.04,1.12,2.16,0.07
ASML,Asml Holding Nv,"ARIMA(0,1,0)",2085.85,2085.86,2089.39,200.77,598.81,-87.82,0,87.82,598.81,686.63,510.99
ASND,Ascendis Pharma A/S,"ARIMA(1,1,1)",1409.71,1409.8,1420.34,14.19,89.31,-16.98,0.35,17.69,89.66,107,72.33
ASO,"Academy Sports & Outdoors, Inc.","ARIMA(0,1,0)",903,903.02,906.55,1.98,44.84,-8.72,0,8.72,44.84,53.56,36.12
ASPS,Altisource Portfolio Solutions S.A.,"ARIMA(0,1,2)",251.5,251.59,262.13,0.15,3.76,-2.68,0.03,2.74,3.79,6.5,1.08
ASRT,"Assertio Holdings, Inc.","ARIMA(0,2,2)",31.72,31.82,42.34,0.06,2.15,-1.79,-0.26,1.27,1.89,3.42,0.36
ASRV,Ameriserv Financial Inc /Pa/,"ARIMA(2,1,3) with drift",-709.83,-709.37,-685.01,0,2.55,-0.41,-0.05,0.31,2.5,2.86,2.14
ASTC,Astrotech Corp,"ARIMA(0,1,0)",221.97,221.99,225.52,0.14,9.52,-2.3,0,2.3,9.52,11.82,7.22
ASTE,Astec Industries Inc,"ARIMA(1,1,1)",772.37,772.47,783.01,1.18,40.04,-6.4,0,6.4,40.04,46.44,33.64
ASTI,"Ascent Solar Technologies, Inc.","ARIMA(1,2,4)",2177.13,2177.47,2198.38,286.85,0.9,-136.69,-6.61,123.46,-5.71,124.37,-135.79
ASTL,Algoma Steel Group Inc.,"ARIMA(0,1,0)",-123.35,-123.33,-119.8,0.04,7.01,-1.17,0,1.17,7.01,8.18,5.84
ASTR,"Astra Space, Inc.","ARIMA(5,1,0) with drift",159,159.45,183.82,0.11,0.8,-2.11,-0.28,1.54,0.52,2.34,-1.31
ASTS,"Ast Spacemobile, Inc.","ARIMA(5,1,0)",109.81,110.14,131.08,0.09,3.31,-1.69,-0.01,1.66,3.3,4.97,1.62
ASUR,Asure Software Inc,"ARIMA(1,2,2)",313.94,314.1,328.1,0.19,8.46,-3.19,-0.6,2,7.86,10.46,5.27
ASYS,Amtech Systems Inc,"ARIMA(0,1,0)",131.58,131.6,135.13,0.1,7.16,-1.93,0,1.93,7.16,9.1,5.23
ATAI,Atai Life Sciences N.V.,"ARIMA(0,1,2)",-398.25,-398.15,-387.61,0.01,1.23,-0.64,-0.02,0.6,1.21,1.83,0.59
ATAK,Aurora Technology Acquisition Corp.,"ARIMA(0,1,4) with drift",-1137.13,-1136.79,-1115.86,0,10.95,-0.05,0.03,0.11,10.98,11.06,10.9
ATCOL,Atlas Corp.,"ARIMA(3,1,1)",-133.16,-132.92,-115.43,0.03,23.77,-0.88,-0.05,0.78,23.72,24.55,22.89
ATCOL,Atlas Corp. - 7.125% Notes due 2027,"ARIMA(3,1,1)",-133.16,-132.92,-115.43,0.03,23.77,-0.88,-0.05,0.78,23.72,24.55,22.89
ATEC,"Alphatec Holdings, Inc.","ARIMA(0,2,1)",309.65,309.7,316.73,0.19,9.18,-3.76,-0.82,2.11,8.36,11.29,5.42
ATHA,"Athira Pharma, Inc.","ARIMA(1,1,1)",-398.92,-398.82,-388.28,0.01,1.56,-0.7,0.01,0.72,1.57,2.28,0.86
ATHE,Alterity Therapeutics Ltd,"ARIMA(0,1,1)",-378.17,-378.12,-371.08,0.01,2.33,-0.56,0.01,0.57,2.34,2.9,1.77
ATIF,Atif Holdings Ltd,"ARIMA(1,1,2)",-507.68,-507.52,-493.5,0.01,1.11,-0.45,-0.05,0.35,1.06,1.46,0.66
ATLC,Atlanticus Holdings Corp,"ARIMA(1,1,0)",753.65,753.7,760.74,1.1,29.26,-6.14,-0.02,6.1,29.24,35.36,23.12
ATLCL,Atlanticus Holdings Corp,"ARIMA(2,1,1)",281.8,281.96,295.98,0.17,22.81,-2.34,-0.3,1.74,22.51,24.55,20.47
ATLCP,Atlanticus Holdings Corp,"ARIMA(2,1,1)",241.47,241.63,255.65,0.15,20.76,-2.6,0.07,2.74,20.83,23.5,18.16
ATLO,Ames National Corp,"ARIMA(0,1,1)",28.83,28.88,35.92,0.06,16.92,-1.72,-0.02,1.69,16.9,18.61,15.2
ATNI,"Atn International, Inc.","ARIMA(4,1,0)",692.87,693.11,710.6,0.86,30.95,-5.91,-0.07,5.76,30.88,36.71,25.04
ATOM,Atomera Inc,"ARIMA(2,1,1)",217.89,218.04,232.07,0.13,6.4,-2.19,-0.01,2.16,6.39,8.56,4.21
ATRA,"Atara Biotherapeutics, Inc.","ARIMA(1,1,0)",-145.5,-145.45,-138.41,0.03,1.29,-1.03,0,1.03,1.29,2.32,0.26
ATRC,"Atricure, Inc.","ARIMA(2,1,1)",800.48,800.64,814.67,1.31,34.64,-6.94,-0.03,6.87,34.61,41.51,27.7
ATRI,Atrion Corp,"ARIMA(4,1,0)",2137.94,2138.18,2155.67,242.21,341.98,-86.36,-0.43,85.51,341.55,427.49,255.62
ATRO,Astronics Corp,"ARIMA(0,1,0)",448.81,448.82,452.35,0.34,15.33,-3.59,0,3.59,15.33,18.92,11.74
ATSG,"Air Transport Services Group, Inc.","ARIMA(0,1,0)",495.5,495.52,499.05,0.4,19.57,-3.93,0,3.93,19.57,23.5,15.64
ATXG,Addentax Group Corp.,"ARIMA(0,1,1)",246.44,246.49,253.53,0.15,1.21,-1.8,0.05,1.9,1.26,3.11,-0.59
ATXS,"Astria Therapeutics, Inc.","ARIMA(0,1,0)",338.07,338.09,341.62,0.22,4.99,-2.89,0,2.89,4.99,7.88,2.1
AUBN,"Auburn National Bancorporation, Inc","ARIMA(2,1,1)",265.97,266.13,280.15,0.16,20.81,-1.32,0.28,1.87,21.09,22.68,19.49
AUDC,Audiocodes Ltd,"ARIMA(0,1,0) with drift",257.09,257.14,264.18,0.16,7.86,-2.93,-0.47,2,7.39,9.86,4.93
AUID,Authid Inc.,"ARIMA(5,1,0)",344.26,344.6,365.54,0.22,6,-2.11,0.08,2.27,6.08,8.27,3.89
AUPH,Aurinia Pharmaceuticals Inc.,"ARIMA(1,1,0)",213.91,213.95,221,0.13,7.34,-2.56,0,2.56,7.34,9.9,4.78
AUR,"Aurora Innovation, Inc.","ARIMA(0,1,0)",-355.33,-355.31,-351.78,0.01,1.75,-0.75,0,0.75,1.75,2.5,1
AURA,"Aura Biosciences, Inc.","ARIMA(0,1,2)",166.06,166.16,176.7,0.11,8.16,-1.96,-0.11,1.73,8.05,9.89,6.2
AUTL,Autolus Therapeutics Plc,"ARIMA(0,1,0)",-302.96,-302.94,-299.41,0.02,2.82,-0.83,0,0.83,2.82,3.65,1.99
AUVIP,"Applied Uv, Inc.","ARIMA(0,1,3)",799.03,799.19,813.21,1.3,2.75,-6.93,0,6.94,2.75,9.69,-4.18
AVAH,"Aveanna Healthcare Holdings, Inc.","ARIMA(0,1,0)",-624.17,-624.15,-620.62,0.01,1.38,-0.44,0,0.44,1.38,1.82,0.94
AVAV,Aerovironment Inc,"ARIMA(1,1,1)",1226.95,1227.05,1237.59,6.95,114.66,-13.17,-0.67,11.82,113.99,126.48,101.49
AVDL,Avadel Pharmaceuticals Plc,"ARIMA(0,1,0)",329.44,329.45,332.98,0.21,9.86,-2.84,0,2.84,9.86,12.7,7.02
AVGO,Broadcom Inc.,"ARIMA(0,1,0) with drift",2103.15,2103.2,2110.24,213.97,841.37,-75.63,15.03,105.7,856.4,947.07,765.74
AVID,"Avid Technology, Inc.","ARIMA(0,1,0)",563.95,563.96,567.49,0.53,27.02,-4.49,0,4.49,27.02,31.51,22.53
AVIR,"Atea Pharmaceuticals, Inc.","ARIMA(0,1,0)",-231.89,-231.87,-228.34,0.02,3.25,-0.95,0,0.95,3.25,4.2,2.3
AVNW,"Aviat Networks, Inc.","ARIMA(0,1,0)",638.72,638.73,642.26,0.7,26.7,-5.2,0,5.2,26.7,31.9,21.5
AVO,"Mission Produce, Inc.","ARIMA(1,1,0) with drift",37.87,37.96,48.5,0.07,9.41,-2.05,-0.24,1.57,9.17,10.98,7.36
AVPT,"Avepoint, Inc.","ARIMA(1,1,0)",-244.05,-244,-236.96,0.02,7.49,-0.99,0.03,1.04,7.52,8.53,6.5
AVRO,"Avrobio, Inc.","ARIMA(0,1,0)",-526.98,-526.97,-523.44,0.01,1.59,-0.53,0,0.53,1.59,2.12,1.06
AVT,Avnet Inc,"ARIMA(0,1,0)",537.02,537.03,540.56,0.47,46.33,-4.26,0,4.26,46.33,50.59,42.07
AVTA,"Avantax, Inc.","ARIMA(0,1,0)",472.36,472.37,475.9,0.37,25.81,-3.76,0,3.76,25.81,29.57,22.05
AVTE,"Aerovate Therapeutics, Inc.","ARIMA(0,1,1)",699.68,699.72,706.77,0.89,10.61,-5.18,-0.1,4.98,10.51,15.59,5.43
AVXL,Anavex Life Sciences Corp.,"ARIMA(0,1,5)",314.83,315.17,336.1,0.19,5.58,-2.17,0.01,2.18,5.59,7.76,3.41
AWH,Aspira Women'S Health Inc.,"ARIMA(0,1,4)",225.96,226.2,243.69,0.14,4.72,-1.72,0.08,1.89,4.8,6.61,3
AWRE,Aware Inc /Ma/,"ARIMA(4,1,1)",-776.44,-776.1,-755.17,0,1.1,-0.14,0.08,0.31,1.18,1.41,0.96
AXGN,"Axogen, Inc.","ARIMA(0,1,0) with drift",127.97,128.02,135.06,0.1,3.76,-2.2,-0.29,1.62,3.47,5.38,1.56
AXON,"Axon Enterprise, Inc.","ARIMA(0,1,0)",1532.85,1532.86,1536.39,23.15,204.49,-29.82,0,29.82,204.49,234.31,174.67
AXSM,"Axsome Therapeutics, Inc.","ARIMA(0,1,0)",1184.7,1184.71,1188.24,5.94,62.28,-15.11,0,15.11,62.28,77.39,47.17
AXTI,Axt Inc,"ARIMA(1,1,4)",-257.27,-256.94,-236,0.02,1.99,-1.16,-0.1,0.95,1.89,2.94,0.83
AY,Atlantica Sustainable Infrastructure Plc,"ARIMA(1,1,4) with drift",311.48,311.93,336.29,0.19,18.11,-3,-0.5,2,17.61,20.11,15.11
AYRO,"Ayro, Inc.","ARIMA(0,1,0)",-27.45,-27.44,-23.91,0.05,1.56,-1.42,0,1.42,1.56,2.98,0.14
AYTU,"Aytu Biopharma, Inc","ARIMA(4,1,1)",-242.82,-242.48,-221.55,0.02,2.73,-0.84,0.02,0.88,2.75,3.61,1.89
AZ,A2Z Smart Technologies Corp,"ARIMA(0,1,0)",-386.2,-386.19,-382.66,0.01,1.53,-0.7,0,0.7,1.53,2.23,0.83
AZN,Astrazeneca Plc,"ARIMA(4,1,1)",728.7,729.04,749.97,0.98,63.23,-6.59,-0.16,6.27,63.07,69.5,56.64
AZPN,"Aspen Technology, Inc.","ARIMA(0,1,5)",1600.8,1601.14,1622.07,29.58,177.75,-32.96,0.01,32.98,177.76,210.73,144.79
AZTA,"Azenta, Inc.","ARIMA(1,1,0)",1001.64,1001.69,1008.73,2.9,45.45,-10.09,-0.08,9.93,45.37,55.38,35.36
BACK,"Imac Holdings, Inc.","ARIMA(3,1,0) with drift",264.93,265.17,282.65,0.16,1.82,-2.64,-0.32,2,1.5,3.82,-0.82
BAER,"Bridger Aerospace Group Holdings, Inc.","ARIMA(1,1,2)",716.11,716.27,730.29,0.94,5.06,-3.63,0.37,4.38,5.43,9.44,1.43
BAFN,Bayfirst Financial Corp.,"ARIMA(0,1,2) with drift",139.69,139.85,153.87,0.1,10.37,-2.02,-0.38,1.26,9.99,11.63,8.35
BAND,Bandwidth Inc.,"ARIMA(1,1,0)",695.2,695.24,702.29,0.87,10.61,-5.32,-0.07,5.18,10.54,15.79,5.29
BANF,Bancfirst Corp /Ok/,"ARIMA(0,1,1)",1030.27,1030.32,1037.37,3.24,81.11,-9.17,-0.02,9.14,81.09,90.25,71.94
BANFP,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities,"ARIMA(0,1,4)",301.24,301.48,318.97,0.18,25.8,-0.8,0.48,1.76,26.28,27.56,25
BANFP,Bancfirst Corp /Ok/,"ARIMA(0,1,4)",301.24,301.48,318.97,0.18,25.8,-0.8,0.48,1.76,26.28,27.56,25
BANR,Banner Corp,"ARIMA(1,1,1) with drift",804.71,804.87,818.89,1.33,42.21,-7.03,-1.38,4.27,40.83,46.48,35.18
BAOS,Baosheng Media Group Holdings Ltd,"ARIMA(1,1,1)",734.23,734.33,744.87,1.01,4.14,-2.79,0.13,3.05,4.27,7.19,1.35
BASE,"Couchbase, Inc.","ARIMA(0,1,2)",497.32,497.42,507.96,0.4,15.56,-3.73,-0.04,3.65,15.52,19.21,11.83
BATRA,"Atlanta Braves Holdings, Inc.","ARIMA(0,1,5)",474.44,474.77,495.71,0.36,37.91,-3.47,0.12,3.72,38.03,41.63,34.44
BATRK,"Atlanta Braves Holdings, Inc.","ARIMA(0,1,5)",470.59,470.93,491.86,0.36,34.78,-2.98,0.12,3.22,34.9,38,31.8
BBCP,"Concrete Pumping Holdings, Inc.","ARIMA(0,1,2)",-202.25,-202.16,-191.62,0.03,7.03,-1.12,0.04,1.2,7.07,8.23,5.91
BBH,VanEck Biotech ETF,"ARIMA(4,1,0)",1007.52,1007.76,1025.25,2.93,144.38,-9.38,0.18,9.73,144.56,154.11,135
BBIO,"Bridgebio Pharma, Inc.","ARIMA(0,1,0)",809.98,810,813.53,1.37,26.04,-7.27,0,7.27,26.04,33.31,18.77
BBSI,Barrett Business Services Inc,"ARIMA(4,1,0)",889.2,889.44,906.93,1.84,91.46,-8.18,-0.18,7.82,91.28,99.28,83.28
BCAB,"Bioatla, Inc.","ARIMA(0,1,1)",127.93,127.98,135.02,0.1,1.47,-2.28,-0.01,2.26,1.46,3.73,-0.81
BCAL,Southern California Bancorp \ Ca,"ARIMA(2,1,2)",-29.12,-28.88,-11.4,0.05,13.45,-1.37,-0.03,1.32,13.42,14.77,12.08
BCAN,Bynd Cannasoft Enterprises Inc.,"ARIMA(0,1,4)",-16.43,-16.19,1.29,0.05,0.81,-1.25,-0.01,1.24,0.8,2.05,-0.44
BCBP,Bcb Bancorp Inc,"ARIMA(0,1,3) with drift",87.54,87.78,105.27,0.08,10.28,-2.02,-0.31,1.4,9.97,11.68,8.26
